description,PI,V,T,parameters
"kla-explore=1-W=2,bootstrap=1",22.000000,-0.142208,28.620057,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",22.000000,2.248807,32.052475,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",22.000000,-0.034992,27.544460,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",22.000000,0.056214,28.548268,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",23.000000,-0.104227,30.361144,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",23.000000,2.539906,34.549049,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",23.000000,-0.054063,28.705946,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",23.000000,0.252673,30.164459,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",24.000000,-0.087042,32.338690,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",24.000000,2.822726,37.126992,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",24.000000,-0.023444,30.422901,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",24.000000,0.159249,32.213492,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",25.000000,-0.011126,34.394683,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",25.000000,2.353466,39.611643,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",25.000000,-0.061284,32.418911,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",25.000000,0.241308,34.364603,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",26.000000,-0.072058,36.449469,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",26.000000,2.255374,42.259043,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",26.000000,-0.003167,34.411657,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",26.000000,0.223445,36.528467,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",27.000000,-0.058038,38.667165,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",27.000000,2.593478,45.023445,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",27.000000,-0.124018,36.563591,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",27.000000,0.085870,38.665609,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",28.000000,-0.096598,40.930080,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",28.000000,2.865013,48.027056,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",28.000000,-0.050014,38.519157,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",28.000000,0.285020,40.844353,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",29.000000,0.081795,43.100445,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",29.000000,2.380137,51.118472,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",29.000000,0.032926,40.544156,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
